Age,BuildingType,PrimaryPropertyType,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SteamUse(kBtu)_Usage,Electricity(kBtu)_Usage,NaturalGas(kBtu)_Usage,TotalUseTypeNumber,RateParking,RateBuilding,RatePerFloors,RatePerBuildings,log_SiteEnergyUse(kBtu),log_TotalGHGEmissions,log_PropertyGFATotal
16,NonResidential,Hospital,9.0,8,Hospital,1,1,1,2,0.0,1.0,144836.375,128743.4444,19.495992965405236,9.2813178062484,13.96280234067203
17,NonResidential,Residential,1.0,5,Residential,0,1,1,6,0.1227,0.8773,20559.2,102796.0,16.12857851325877,5.272691818909064,11.540511448697996
88,NonResidential,School,1.0,2,School,0,1,1,1,0.0,1.0,27826.5,55653.0,14.135873737652302,4.302442155331039,10.926909231928333
85,NonResidential,Residential,1.0,16,Residential,0,1,1,1,0.0,1.0,6678.75,106860.0,16.295046142705484,6.153944725854957,11.579284203506532
44,NonResidential,Office,1.0,5,Office,0,1,1,2,0.0,1.0,10151.8,50759.0,14.961973839759995,3.9138213873695253,10.834863921828324
64,NonResidential,Public,1.0,2,Public,0,1,1,1,0.0,1.0,28386.0,56772.0,14.707297816860034,4.449334754429963,10.946816139580935
64,NonResidential,Public,1.0,3,Public,0,1,1,1,0.0,1.0,34333.3333,103000.0,15.3954023510764,5.016816153171337,11.542493975902508
102,NonResidential,Other,1.0,7,Other,0,1,1,3,0.0,1.0,18395.1429,128766.0,15.61679303903496,4.064057161283644,11.765759848644574
103,NonResidential,Other,1.0,9,Residential,1,1,0,3,0.0,1.0,11952.4444,107572.0,15.53335506205258,5.5446695029991275,11.58592496585375
61,NonResidential,Other,1.0,15,Other,0,1,0,1,0.0,1.0,15392.0,230880.0,17.94582017082735,6.074426067822329,12.34965770525265
43,NonResidential,Other,1.0,1,Other,0,1,1,1,0.0,1.0,76086.0,76086.0,14.999555617167122,4.628984364087346,11.239632701398955
89,NonResidential,Hospital,1.0,5,Hospital,0,1,1,2,0.2053,0.7947,38000.0,190000.0,17.17350474424078,6.49532597707234,12.154784614286667
55,NonResidential,Residential,1.0,4,Residential,0,1,1,1,0.0,1.0,30577.25,122309.0,17.0523713199146,6.96708965702724,11.714314084481408
21,Campus,Other,4.0,3,Other,0,1,1,1,0.0,1.0,71825.3333,53869.0,16.994304572641532,6.462077365760166,12.28060945429176
36,Nonresidential COS,Other,1.0,2,Other,0,1,1,1,0.0,1.0,34700.0,69400.0,16.512397143814713,5.712940412440966,11.147656555612986
116,NonResidential,Other,1.0,1,Restaurant,0,1,1,3,0.0,1.0,62900.0,62900.0,16.156771119338835,5.935608226353245,11.049317340813348
102,NonResidential,Office,1.0,4,Office,1,1,0,2,0.0,1.0,14125.0,56500.0,14.13780753072309,3.811539466849824,10.942013616092948
8,NonResidential,Warehouse,1.0,4,Warehouse,0,1,0,2,0.0,1.0,50876.0,203504.0,15.146631342973455,3.3101779832749867,12.223445853587519
35,NonResidential,Office,1.0,4,Office,0,1,1,2,0.2383,0.7617,19415.5,77662.0,15.42642777568657,4.23685634351072,11.260134232464857
38,NonResidential,Office,1.0,12,Office,0,1,1,4,0.0931,0.9069,19500.0,234000.0,16.741978869718228,5.012433676037635,12.36308066783498
27,NonResidential,Office,1.0,25,Office,0,1,0,2,0.0,1.0,14799.84,369996.0,17.024541561213013,5.156638588216099,12.821250176479428
91,NonResidential,Retail,1.0,10,Retail,1,1,1,2,0.0,1.0,69345.0,693450.0,17.505961002426417,5.98943749402335,13.449435860148478
40,NonResidential,Office,1.0,33,Office,0,1,1,5,0.0,1.0,23981.697,791396.0,17.525362371637442,5.750347943803522,13.581555017175708
16,NonResidential,Office,1.0,23,Office,0,1,1,3,0.2743,0.7257,32510.7391,747747.0,17.24902736150566,5.88640954033312,13.524821301797878
90,NonResidential,Office,1.0,10,Office,1,1,0,2,0.1223,0.8777,6340.9,63409.0,15.052222829006643,5.144641573943989,11.057376856694077
86,NonResidential,Office,1.0,17,Office,0,1,1,4,0.1465,0.8535,12046.4706,204790.0,15.86187348512481,4.617691466541763,12.229745225869367
100,NonResidential,Office,1.0,5,Office,0,1,0,2,0.0,1.0,14679.8,73399.0,15.139133187743084,3.3028492586443794,11.203679214602607
47,NonResidential,Office,1.0,20,Office,1,1,0,2,0.1216,0.8784,13292.55,265851.0,16.498805801199353,6.335497415697645,12.490695041943495
7,NonResidential,Office,1.0,25,Office,0,1,1,2,0.3017,0.6983,30321.72,758043.0,17.112014645771065,5.439165675135416,13.538496710433222
48,NonResidential,Office,1.0,12,Office,1,1,0,2,0.0,1.0,17166.6667,206000.0,15.964977104964301,5.408023426636094,12.235636302128867
